id,superid,impcost,impcost_adj,payback,reference_year,reference_ppi,fy,arc2,conserved,saved
WV0199,WV019909,700.0,1204.0,0.22973416475222,2024,262.98,2000,2.7135,80598.0,3047.0
WV0205,WV020510,1000.0,2000.0,0.10622477161674,2024,278.19,2000,2.4157,199297.0,5621.0
WV0239,WV023910,300.0,561.0,0.052816901408451,2024,278.19,2002,2.6221,73250.0,4770.0
WV0249,WV024910,2460.0,3763.8,2.0654911838791,2024,239.54,2002,2.4231,275.0,1191.0
WV0250,WV025009,3735.0,5714.55,0.73872626582278,2024,239.54,2002,2.4231,92881.0,5056.0
WV0347,WV034711,158.0,270.18,0.35,2024,278.19,2006,2.4236,5860.0,456.0
WV0372,WV037210,460.0,648.6,0.4,2024,262.98,2008,2.4221,31400.0,798.0
WV0397,WV039711,19960.0,27345.2,2.94,2024,243.25,2009,2.7142,211438.0,5768.0
WV0401,WV040113,1000.0,1370.0,0.4,2024,262.98,2010,2.4111,19780.0,785.0
WV0414,WV041414,1735.0,3209.75,4.47,2024,248.28,2010,2.7492,36.0,388.0
AM0081,AM008106,1640.0,2755.2,11.631205673759,2024,243.25,1990,2.7142,1758.0,141.0
AM0097,AM009706,52.0,87.36,0.38235294117647,2024,243.25,1990,2.7142,3224.0,136.0
AM0104,AM010408,99.0,166.32,0.76744186046512,2024,243.25,1990,2.7142,1465.0,129.0
AM0115,AM011506,213.0,447.3,1.5214285714286,2024,262.98,1991,2.4221,4689.0,140.0
AM0116,AM011606,12.0,19.56,0.42857142857143,2024,243.25,1991,2.7142,293.0,28.0
AM0122,AM012206,14.0,22.82,0.25454545454545,2024,243.25,1991,2.7142,586.0,55.0
AM0143,AM014306,200.0,320.0,1.5384615384615,2024,243.25,1992,2.7142,1758.0,130.0
AM0149,AM014905,373.0,615.45,0.93954659949622,2024,216.87,1992,2.4133,4103.0,397.0
AM0154,AM015404,440.0,726.0,0.44943820224719,2024,216.87,1992,2.4133,19637.0,979.0
AM0172,AM017205,22.0,34.98,0.04,2024,243.25,1993,2.7142,5275.0,550.0
AM0175,AM017506,540.0,874.8,2.3478260869565,2024,216.87,1993,2.4133,2931.0,230.0
AM0179,AM017907,3920.0,6350.4,5.1578947368421,2024,216.87,1993,2.4133,10551.0,760.0
AM0192,AM019203,240.0,604.8,1.1428571428571,2024,278.19,1993,2.4236,7327.0,210.0
